PMID_Index,Term,Category,Start_Char,End_Char
0,BRCA1,Gene,136,141
0,BRCA2,Gene,146,151
0,c.1397dupA,Gene,447,457
0,c.5123 C,Gene,840,848
0,c.2808_2011delACAA,Gene,1038,1056
0,c81-2 A,Gene,1205,1212
0,c.5266dupC,Gene,1240,1250
0,c.2457delA,Gene,1277,1287
0,c.6275delTT,Gene,1321,1332
0,c.7558 C,Gene,1334,1342
0,BRCA1/2,Gene,1479,1486
1,ATP7B,Gene,519,524
1,NBN,Gene,615,618
1,BRCA1,Gene,636,641
1,SDHD,Gene,768,772
1,ARSB,Gene,793,797
2,breast cancer patients,Disease,82,104
2,cancer,Disease,130,136
2,BRCA1/2,Gene,314,321
2,BRCA1/2,Disease,417,424
2,c.5266dupC,Gene,807,817
2,BRCA1,Gene,838,843
2,ATM,Gene,1192,1195
2,KA,Gene,1265,1267
2,Cyrillic2,Gene,1269,1278
2,BRIP1,Gene,1280,1285
2,NBN,Gene,1287,1290
2,PTEN,Gene,1292,1296
2,TP53,Gene,1298,1302
2,PMS1,Gene,1304,1308
2,XPA,Gene,1310,1313
2,LGR4,Gene,1315,1319
2,BRWD1,Gene,1321,1326
2,PALB2,Gene,1331,1336
2,Komi,Gene,1469,1473
2,BRCA,Disease,1603,1607
3,BRCA1,Gene,34,39
3,BRCA2,Gene,44,49
3,ovarian cancer,Disease,96,110
3,cancer,Disease,151,157
3,Cancer,Disease,619,625
3,high-grade serous ovarian cancer,Disease,708,740
3,2,Gene,960,961
4,cancer,Disease,61,67
4,breast,Disease,241,247
4,ovarian cancer,Disease,252,266
4,HBOC,Disease,268,272
4,BRCA1,Gene,715,720
4,BRCA2,Gene,1140,1145
4,c.156_157insAlu,Gene,1279,1294
4,non-BRCA,Gene,1439,1447
4,c.1010G > A,Gene,1459,1470
4,TP53,Gene,1487,1491
4,c.5266dupC,Gene,1849,1859
5,BRCA1,Gene,95,100
5,BRCA2,Gene,105,110
5,Ovarian cancer patients,Disease,163,186
5,high-grade serous carcinoma,Disease,314,341
5,peritoneal cancer,Disease,370,387
5,Cancer,Disease,424,430
5,cancer,Disease,545,551
5,ovarian cancer patients,Disease,701,724
5,c.5266dupC,Disease,1008,1018
5,c.9676delT,Gene,1124,1134
5,BRCA,Disease,1376,1380
5,ovarian cancer,Disease,1490,1504
